Study_Hours_Per_Week,Attendance_Percentage,Previous_Exam_Score,Sleep_Hours_Per_Night,Practice_Tests_Taken,Tutoring_Sessions,Final_Exam_Score
35.1,56.0,76.2,8.8,12,6,85.1
11.3,95.1,55.9,4.5,11,6,70.9
40.2,53.3,68.3,8.4,3,4,77.8
39.9,76.7,44.8,6.8,0,1,68.3
6.2,57.1,66.7,9.4,4,5,57.9
38.0,50.6,57.8,6.9,0,3,65.8
10.2,71.1,87.7,9.4,12,9,81.4
18.4,64.8,43.3,8.3,0,1,49.2
34.7,74.3,64.3,5.7,9,8,89.1
11.4,78.9,66.6,7.2,14,6,72.0
37.7,52.2,82.1,9.5,10,5,91.0
38.3,56.2,73.3,8.8,10,4,87.8
25.3,77.9,78.7,5.0,15,2,81.4
5.3,67.2,85.1,8.0,13,9,77.3
16.5,86.5,90.0,6.2,6,9,84.4
29.7,82.6,58.2,4.5,11,3,73.3
44.2,92.3,71.2,6.5,5,2,88.8
30.3,84.6,88.7,5.7,1,10,84.7
15.4,71.5,97.4,8.6,15,7,95.4
30.4,83.6,91.6,6.2,13,2,100.0
26.6,63.8,61.5,8.6,15,6,81.1
36.2,65.3,51.3,4.5,10,6,80.6
9.3,89.4,68.4,6.0,11,6,70.5
35.4,72.3,83.0,5.7,1,6,85.4
26.7,89.9,68.6,5.7,10,1,73.1
43.5,91.1,68.0,4.8,6,9,96.3
18.7,92.9,88.6,5.4,0,2,66.5
30.3,95.8,61.0,7.3,12,9,91.7
42.3,71.5,89.9,6.0,1,8,88.1
9.1,65.9,63.6,6.6,11,2,64.7
42.5,79.1,59.0,6.4,7,1,77.4
32.5,68.6,66.3,8.9,5,8,84.6
7.7,80.1,84.2,9.0,14,9,84.0
17.0,85.3,47.3,7.0,13,8,75.4
33.3,84.4,51.4,6.2,1,3,68.7
7.7,68.7,95.2,5.0,6,8,70.8
28.3,58.3,50.2,9.3,3,2,63.1
18.8,71.5,72.9,4.8,1,6,71.1
29.8,57.1,73.6,6.0,11,6,80.0
6.8,94.5,68.4,6.0,5,10,75.0
39.9,67.3,77.4,6.1,10,7,98.7
43.9,57.7,53.3,5.3,14,9,89.4
43.8,51.3,72.1,8.4,8,3,80.5
35.0,82.3,61.6,5.1,10,2,81.3
10.2,81.8,78.4,7.7,8,2,66.6
